rusher_player_id,rusher_player_name,yards_gained,ydstogo,second_down,third_down,fourth_down
00-0033553,J.Conner,3.0,10,0,0,0
00-0033553,J.Conner,2.0,1,1,0,0
00-0033553,J.Conner,2.0,10,0,0,0
00-0033553,J.Conner,2.0,8,1,0,0
00-0033553,J.Conner,-3.0,10,1,0,0
00-0035228,K.Murray,6.0,13,0,1,0
00-0033553,J.Conner,4.0,9,0,0,0
00-0037248,J.Cook,9.0,10,0,0,0
00-0037248,J.Cook,3.0,1,1,0,0
00-0033553,J.Conner,4.0,10,0,0,0
00-0035228,K.Murray,11.0,10,0,0,0
00-0033553,J.Conner,1.0,7,1,0,0
00-0037248,J.Cook,15.0,10,0,0,0
00-0037248,J.Cook,5.0,10,0,0,0
00-0037248,J.Cook,9.0,10,0,0,0
00-0037248,J.Cook,4.0,1,1,0,0
00-0037248,J.Cook,4.0,8,0,0,0
00-0037248,J.Cook,0.0,4,1,0,0
00-0039921,T.Benson,6.0,5,1,0,0
00-0035228,K.Murray,12.0,6,0,1,0
00-0039921,T.Benson,4.0,10,0,0,0
00-0039921,T.Benson,3.0,10,0,0,0
00-0033553,J.Conner,3.0,3,0,0,0
00-0035537,Ty.Johnson,6.0,15,0,0,0
00-0034857,J.Allen,6.0,15,0,0,0
00-0034857,J.Allen,7.0,10,0,0,0
00-0034857,J.Allen,7.0,3,1,0,0
00-0035228,K.Murray,-1.0,10,0,0,0
00-0037248,J.Cook,1.0,10,0,0,0
00-0037248,J.Cook,-2.0,10,0,0,0
00-0039875,R.Davis,13.0,10,0,0,0
00-0039875,R.Davis,0.0,10,0,0,0
00-0033553,J.Conner,2.0,10,0,0,0
00-0033553,J.Conner,2.0,8,1,0,0
00-0039875,R.Davis,0.0,7,1,0,0
00-0037248,J.Cook,1.0,10,0,0,0
00-0035537,Ty.Johnson,1.0,2,0,1,0
00-0034857,J.Allen,1.0,1,0,0,1
00-0033553,J.Conner,3.0,10,0,0,0
00-0035228,K.Murray,29.0,7,0,1,0
00-0033553,J.Conner,20.0,10,0,0,0
00-0035500,G.Dortch,4.0,10,0,0,0
00-0033553,J.Conner,2.0,6,1,0,0
00-0033553,J.Conner,0.0,4,0,1,0
00-0037248,J.Cook,6.0,10,0,0,0
00-0037248,J.Cook,1.0,10,0,0,0
00-0034857,J.Allen,5.0,2,0,0,1
00-0037248,J.Cook,-2.0,10,0,0,0
00-0034857,J.Allen,6.0,6,1,0,0
00-0033553,J.Conner,2.0,0,0,0,0
00-0034857,J.Allen,9.0,10,0,0,0
00-0037248,J.Cook,3.0,1,1,0,0
00-0037248,J.Cook,-3.0,10,0,0,0
00-0037248,J.Cook,9.0,10,0,0,0
00-0037248,J.Cook,7.0,10,0,0,0
00-0037248,J.Cook,1.0,3,1,0,0
00-0034857,J.Allen,-1.0,2,0,1,0
00-0033553,J.Conner,3.0,10,0,1,0
00-0034857,J.Allen,-1.0,10,0,0,0
00-0037840,K.Williams,9.0,10,0,0,0
00-0037840,K.Williams,-1.0,1,1,0,0
00-0033553,J.Conner,16.0,10,1,0,0
00-0035228,K.Murray,6.0,10,0,0,0
00-0033553,J.Conner,13.0,4,1,0,0
00-0037840,K.Williams,-1.0,10,0,0,0
00-0037840,K.Williams,-1.0,3,1,0,0
00-0033553,J.Conner,-1.0,18,0,0,0
00-0033553,J.Conner,4.0,10,0,0,0
00-0039921,T.Benson,1.0,6,1,0,0
00-0039921,T.Benson,2.0,3,1,0,0
00-0033553,J.Conner,6.0,1,0,1,0
00-0033553,J.Conner,4.0,1,1,0,0
00-0033553,J.Conner,3.0,10,0,0,0
00-0033553,J.Conner,2.0,7,1,0,0
00-0037840,K.Williams,1.0,10,0,0,0
00-0037840,K.Williams,9.0,10,0,0,0
00-0037840,K.Williams,-3.0,1,1,0,0
00-0035228,K.Murray,8.0,10,0,0,0
00-0039921,T.Benson,4.0,2,1,0,0
00-0039921,T.Benson,-1.0,10,0,0,0
00-0035228,K.Murray,9.0,14,0,1,0
00-0033553,J.Conner,3.0,10,1,0,0
00-0037840,K.Williams,2.0,10,0,0,0
00-0037840,K.Williams,1.0,4,0,0,0
00-0033553,J.Conner,7.0,1,1,0,0
00-0033553,J.Conner,5.0,20,0,0,0
00-0035228,K.Murray,26.0,15,1,0,0
00-0033553,J.Conner,6.0,10,0,0,0
00-0033553,J.Conner,22.0,4,1,0,0
00-0033553,J.Conner,5.0,5,1,0,0
00-0037840,K.Williams,1.0,10,0,0,0
00-0033553,J.Conner,-1.0,10,0,0,0
00-0033553,J.Conner,2.0,10,0,0,0
00-0039921,T.Benson,1.0,10,0,0,0
00-0039921,T.Benson,1.0,9,1,0,0
00-0037840,K.Williams,4.0,1,0,0,1
00-0037840,K.Williams,4.0,4,0,0,0
00-0033553,J.Conner,5.0,5,0,0,0
00-0039921,T.Benson,-3.0,10,0,0,0
00-0039921,T.Benson,1.0,10,0,0,0
00-0033553,J.Conner,10.0,9,1,0,0
00-0033553,J.Conner,8.0,10,0,0,0
00-0033553,J.Conner,1.0,2,1,0,0
00-0035228,K.Murray,10.0,1,0,1,0
00-0033553,J.Conner,2.0,7,1,0,0
00-0039921,T.Benson,2.0,10,0,0,0
00-0039921,T.Benson,-1.0,8,1,0,0
00-0038705,E.Demercado,41.0,9,0,1,0
00-0038705,E.Demercado,5.0,10,0,0,0
00-0039921,T.Benson,3.0,5,1,0,0
00-0038582,C.Tune,-6.0,2,0,1,0
00-0039738,B.Corum,2.0,10,0,0,0
00-0039738,B.Corum,8.0,8,1,0,0
00-0039738,B.Corum,9.0,10,0,0,0
00-0039738,B.Corum,-1.0,1,1,0,0
00-0039738,B.Corum,5.0,2,0,1,0
00-0039738,B.Corum,2.0,10,0,0,0
00-0039738,B.Corum,-1.0,8,1,0,0
00-0039738,B.Corum,4.0,9,0,1,0
00-0035685,D.Montgomery,11.0,10,0,0,0
00-0035685,D.Montgomery,6.0,10,0,0,0
00-0035685,D.Montgomery,-2.0,4,1,0,0
00-0035685,D.Montgomery,9.0,10,0,0,0
00-0035685,D.Montgomery,14.0,1,1,0,0
00-0035685,D.Montgomery,1.0,1,0,0,0
00-0033553,J.Conner,1.0,10,0,0,0
00-0035228,K.Murray,13.0,10,0,0,0
00-0035228,K.Murray,21.0,20,0,0,0
00-0033553,J.Conner,2.0,10,0,0,0
00-0039139,J.Gibbs,4.0,10,0,0,0
00-0039139,J.Gibbs,3.0,1,0,1,0
00-0039139,J.Gibbs,2.0,10,0,0,0
00-0039139,J.Gibbs,0.0,15,0,0,0
00-0039139,J.Gibbs,3.0,10,0,0,0
00-0039139,J.Gibbs,4.0,7,1,0,0
00-0039139,J.Gibbs,14.0,3,0,1,0
00-0039139,J.Gibbs,5.0,9,0,0,0
00-0039139,J.Gibbs,-1.0,4,1,0,0
00-0035228,K.Murray,3.0,10,0,0,0
00-0033553,J.Conner,3.0,7,1,0,0
00-0035685,D.Montgomery,7.0,10,0,0,0
00-0035685,D.Montgomery,0.0,10,0,0,0
00-0035685,D.Montgomery,7.0,10,1,0,0
00-0033553,J.Conner,3.0,15,0,0,0
00-0033553,J.Conner,-1.0,10,0,0,0
00-0035685,D.Montgomery,2.0,10,0,0,0
00-0039139,J.Gibbs,14.0,12,0,1,0
00-0039139,J.Gibbs,6.0,10,0,0,0
00-0038705,E.Demercado,6.0,10,1,0,0
00-0033553,J.Conner,4.0,10,1,0,0
00-0033553,J.Conner,7.0,10,0,0,0
00-0035685,D.Montgomery,4.0,1,1,0,0
00-0035685,D.Montgomery,1.0,10,0,0,0
00-0033553,J.Conner,1.0,10,0,0,0
00-0035228,K.Murray,8.0,9,0,1,0
00-0037240,J.Williams,-7.0,10,0,0,0
